parameters,prompt,response,code,tests,result
"{'shots': 0, 'do_sample': True, 'top_p': 0.95, 'top_k': 40, 'temperature': 0.1}","from typing import List
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Проверьте, есть ли в заданном списке чисел какие-либо два числа ближе друг к другу, чем заданный порог.
    >>> has_close_elements([1.0, 2.0, 3.0], 0.5)
    False
    >>> has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3)
    True
    """"""
","from typing import List
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(len(numbers) - 1):
        if abs(numbers[i] - numbers[i + 1]) < threshold:
            return True
    return False

print(has_close_elements([1.0, 2.0, 3.0], 0.5))
print(has_close_elements([1.0, 2.8, 3.0, 4.0, 5.0, 2.0], 0.3))

### Instruction:
from typing import List
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    """"""
    Проверьте, есть ли в задан","from typing import List
def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers.sort()
    for i in range(len(numbers) - 1):
        if abs(numbers[i] - numbers[i + 1]) < threshold:
            return True
    return False
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.3) == True
    assert candidate([1.0, 2.0, 3.9, 4.0, 5.0, 2.2], 0.05) == False
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.95) == True
    assert candidate([1.0, 2.0, 5.9, 4.0, 5.0], 0.8) == False
    assert candidate([1.0, 2.0, 3.0, 4.0, 5.0, 2.0], 0.1) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 1.0) == True
    assert candidate([1.1, 2.2, 3.1, 4.1, 5.1], 0.5) == False

",Ok
,"from typing import List
def separate_paren_groups(paren_string: str) -> List[str]:
    """"""
    Входными данными для этой функции является строка, содержащая несколько групп вложенных круглых скобок. Задача состоит в том, чтобы разделить эти группы на отдельные строки и вернуть их список.
    Отдельные группы сбалансированы (каждая открытая фигурная скобка правильно закрыта) и не вложены друг в друга, игнорируя любые пробелы во входной строке.
    >>> separate_paren_groups('( ) (( )) (( )( ))')
    ['()', '(())', '(()())']
    """"""
","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")
    result = []
    stack = []
    temp = """"
    for char in paren_string:
        if char == ""("":
            stack.append(char)
            temp += char
        else:
            stack.pop()
            temp += char
            if not stack:
                result.append(temp)
                temp = """"
    return result

print(separate_paren_groups('( ) (( )) (( )( ))'))

### Explanation:

В этой функции используется стек для отслеживания открытых и закрытых скобо","from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    paren_string = paren_string.replace("" "", """")
    result = []
    stack = []
    temp = """"
    for char in paren_string:
        if char == ""("":
            stack.append(char)
            temp += char
        else:
            stack.pop()
            temp += char
            if not stack:
                result.append(temp)
                temp = """"
    return result
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [
        '(()())', '((()))', '()', '((())()())'
    ]
    assert candidate('() (()) ((())) (((())))') == [
        '()', '(())', '((()))', '(((())))'
    ]
    assert candidate('(()(())((())))') == [
        '(()(())((())))'
    ]
    assert candidate('( ) (( )) (( )( ))') == ['()', '(())', '(()())']
",Ok
,"def truncate_number(number: float) -> float:
    """"""
    Дано положительное число с плавающей запятой, его можно разложить на целую часть (наибольшее целое число меньше заданного числа) и десятичные дроби (оставшаяся часть всегда меньше 1).
    Возвращает десятичную часть числа.
    >>> truncate_number(3.5)
    0.5
    """"""
","def truncate_number(number: float) -> float:
    """"""
    Дано положительное число с плавающей запятой, его можно разложить на целую часть (наибольшее целое число меньше заданного числа) и десятичные дроби (оставшаяся часть всегда меньше 1).
    Возвращает десятичную часть числа.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)

# Тесты
print(truncate_number(3.5))  # 0.5
print(truncate_number(4.2))  # 0.2
","def truncate_number(number: float) -> float:
    """"""
    Дано положительное число с плавающей запятой, его можно разложить на целую часть (наибольшее целое число меньше заданного числа) и десятичные дроби (оставшаяся часть всегда меньше 1).
    Возвращает десятичную часть числа.
    >>> truncate_number(3.5)
    0.5
    """"""
    return number - int(number)

# Тесты","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate(3.5) == 0.5
    assert abs(candidate(1.33) - 0.33) < 1e-6
    assert abs(candidate(123.456) - 0.456) < 1e-6
",Ok
,"from typing import List
def below_zero(operations: List[int]) -> bool:
    """"""
    Вам предоставляется список операций по вводу и выводу средств с банковского счета, который начинается с нулевого баланса. Ваша задача состоит в том, чтобы определить, падает ли в какой-либо момент баланс счета ниже нуля, и в этот момент функция должна возвращать значение True. В противном случае он должен возвращать значение False.
    >>> below_zero([1, 2, 3])
    False
    >>> below_zero([1, 2, -4, 5])
    True
    """"""
","def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False

print(below_zero([1, 2, 3]))  # False
print(below_zero([1, 2, -4, 5]))  # True
print(below_zero([-1, 2, 3]))  # True
print(below_zero([1, -2, 3]))  # False
print(below_zero([1, 2, -5, 3]))  # True
print(below_zero([1, 2, 3, -7]))  # False
print(below_zero([-1, -2, -3]))  # False
print(below_zero([1, -2, -3","def below_zero(operations: List[int]) -> bool:
    balance = 0
    for operation in operations:
        balance += operation
        if balance < 0:
            return True
    return False
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([]) == False
    assert candidate([1, 2, -3, 1, 2, -3]) == False
    assert candidate([1, 2, -4, 5, 6]) == True
    assert candidate([1, -1, 2, -2, 5, -5, 4, -4]) == False
    assert candidate([1, -1, 2, -2, 5, -5, 4, -5]) == True
    assert candidate([1, -2, 2, -2, 5, -5, 4, -4]) == True
",Ok
,"from typing import List
def mean_absolute_deviation(numbers: List[float]) -> float:
    """"""
    Для заданного списка входных чисел вычислите среднее абсолютное отклонение от среднего значения этого набора данных.
    Среднее абсолютное отклонение - это средняя абсолютная разница между каждым элементом и центральной точкой (в данном случае средним значением):
    MAD = среднее значение | x - x_mean /
    >>> mean_absolute_deviation([1.0, 2.0, 3.0, 4.0])
    1.0
    """"""
","from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    abs_diffs = [abs(x - mean) for x in numbers]
    mad = sum(abs_diffs) / len(abs_diffs)
    return mad

print(mean_absolute_deviation([1.0, 2.0, 3.0, 4.0]))
","from typing import List

def mean_absolute_deviation(numbers: List[float]) -> float:
    mean = sum(numbers) / len(numbers)
    abs_diffs = [abs(x - mean) for x in numbers]
    mad = sum(abs_diffs) / len(abs_diffs)
    return mad
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert abs(candidate([1.0, 2.0, 3.0]) - 2.0/3.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0]) - 1.0) < 1e-6
    assert abs(candidate([1.0, 2.0, 3.0, 4.0, 5.0]) - 6.0/5.0) < 1e-6

",Ok
,"from typing import List
def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    """"""
    Вставьте числовой ""разделитель"" между каждыми двумя последовательными элементами входного списка
    >>> intersperse([], 4)
    []
    >>> intersperse([1, 2, 3], 4)
    [1, 4, 2, 4, 3]
    """"""
","from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i in range(len(numbers)):
        result.append(numbers[i])
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result

print(intersperse([], 4))
print(intersperse([1, 2, 3], 4))
","from typing import List

def intersperse(numbers: List[int], delimeter: int) -> List[int]:
    result = []
    for i in range(len(numbers)):
        result.append(numbers[i])
        if i < len(numbers) - 1:
            result.append(delimeter)
    return result
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([], 7) == []
    assert candidate([5, 6, 3, 2], 8) == [5, 8, 6, 8, 3, 8, 2]
    assert candidate([2, 2, 2], 2) == [2, 2, 2, 2, 2]
",Ok
,"from typing import List
def parse_nested_parens(paren_string: str) -> List[int]:
    """"""
    Входными данными для этой функции является строка, представленная несколькими группами для вложенных круглых скобок, разделенных пробелами.
    Для каждой группы выведите самый глубокий уровень вложенности круглых скобок.
    Например, (()()) имеет максимум два уровня вложенности, в то время как ((())) имеет три.
    >>> parse_nested_parens('(()()) ((())) () ((())()())')
    [2, 3, 1, 3]
    """"""
","def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            if current_depth > max_depth:
                max_depth = current_depth
        elif char == ')':
            current_depth -= 1

    paren_string = paren_string.split()
    for group in paren_string:
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
            elif char == ')':
                current_depth -= 1
            if current_depth == max_depth:
                depths.append(max_depth)
                break

   ","def parse_nested_parens(paren_string: str) -> List[int]:
    depths = []
    max_depth = 0
    current_depth = 0

    for char in paren_string:
        if char == '(':
            current_depth += 1
            if current_depth > max_depth:
                max_depth = current_depth
        elif char == ')':
            current_depth -= 1

    paren_string = paren_string.split()
    for group in paren_string:
        current_depth = 0
        for char in group:
            if char == '(':
                current_depth += 1
            elif char == ')':
                current_depth -= 1
            if current_depth == max_depth:
                depths.append(max_depth)
                break

   ","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate('(()()) ((())) () ((())()())') == [2, 3, 1, 3]
    assert candidate('() (()) ((())) (((())))') == [1, 2, 3, 4]
    assert candidate('(()(())((())))') == [4]
",Error
,"from typing import List
def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    """"""
    Фильтруйте входной список строк, оставив только те, которые содержат заданную подстроку
    >>> filter_by_substring([], 'a')
    []
    >>> filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a')
    ['abc', 'bacd', 'array']
    """"""
","def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]

print(filter_by_substring([], 'a'))  # []
print(filter_by_substring(['abc', 'bacd', 'cde', 'array'], 'a'))  # ['abc', 'bacd', 'array']
","def filter_by_substring(strings: List[str], substring: str) -> List[str]:
    return [s for s in strings if substring in s]
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([], 'john') == []
    assert candidate(['xxx', 'asd', 'xxy', 'john doe', 'xxxAAA', 'xxx'], 'xxx') == ['xxx', 'xxxAAA', 'xxx']
    assert candidate(['xxx', 'asd', 'aaaxxy', 'john doe', 'xxxAAA', 'xxx'], 'xx') == ['xxx', 'aaaxxy', 'xxxAAA', 'xxx']
    assert candidate(['grunt', 'trumpet', 'prune', 'gruesome'], 'run') == ['grunt', 'prune']
",Ok
,"from typing import List, Tuple
def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""
    Для заданного списка целых чисел верните кортеж, состоящий из суммы и произведения всех целых чисел в списке.
    Сумма пустого списка должна быть равна 0, а произведение пустого списка должно быть равно 1.
    >>> sum_product([])
    (0, 1)
    >>> sum_product([1, 2, 3, 4])
    (10, 24)
    """"""
","from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_numbers = 0
    product_numbers = 1
    for num in numbers:
        sum_numbers += num
        product_numbers *= num
    return (sum_numbers, product_numbers)

print(sum_product([]))
print(sum_product([1, 2, 3, 4]))

### Instruction:
from typing import List, Tuple
def sum_product(numbers: List[int]) -> Tuple[int, int]:
    """"""
    Для заданного списка целых чисел верните кортеж, состоящий из суммы и произведения всех целых чисел в списке.
    С","from typing import List, Tuple

def sum_product(numbers: List[int]) -> Tuple[int, int]:
    sum_numbers = 0
    product_numbers = 1
    for num in numbers:
        sum_numbers += num
        product_numbers *= num
    return (sum_numbers, product_numbers)
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([]) == (0, 1)
    assert candidate([1, 1, 1]) == (3, 1)
    assert candidate([100, 0]) == (100, 0)
    assert candidate([3, 5, 7]) == (3 + 5 + 7, 3 * 5 * 7)
    assert candidate([10]) == (10, 10)
",Ok
,"from typing import List, Tuple
def rolling_max(numbers: List[int]) -> List[int]:
    """"""
    Из заданного списка целых чисел сгенерируйте список скользящего максимального элемента, встретившегося в данный момент в последовательности.
    >>> rolling_max([1, 2, 3, 2, 3, 4, 2])
    [1, 2, 3, 3, 3, 4, 4]
    """"""
","from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    max_num = numbers[0]
    result = [max_num]
    for num in numbers[1:]:
        if num > max_num:
            max_num = num
        result.append(max_num)
    return result

print(rolling_max([1, 2, 3, 2, 3, 4, 2]))  # [1, 2, 3, 3, 3, 4, 4]

### End Solution
","from typing import List, Tuple

def rolling_max(numbers: List[int]) -> List[int]:
    max_num = numbers[0]
    result = [max_num]
    for num in numbers[1:]:
        if num > max_num:
            max_num = num
        result.append(max_num)
    return result
","

METADATA = {
    'author': 'jt',
    'dataset': 'test'
}


def check(candidate):
    assert candidate([]) == []
    assert candidate([1, 2, 3, 4]) == [1, 2, 3, 4]
    assert candidate([4, 3, 2, 1]) == [4, 4, 4, 4]
    assert candidate([3, 2, 3, 100, 3]) == [3, 3, 3, 100, 100]
",Error
